Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Center of Mass,Rotation Matrix
object_402,2.4941944122265602,2.386347057662829,1.1699120327813104,0.9567606462290739,0.46905406693495605,0.4902522577445687,0.5309459330650439,0.10847479090163357,14,15363,13781,12.377079188120002,6.385357343988347,644946947.404098,[ 0.90113033 -0.4715228   0.14389548],"[[-0.00252867 -0.78021036  0.62551212]
 [-0.96705564 -0.15731881 -0.20013542]
 [ 0.25455255 -0.60541109 -0.75410902]]"
object_405,2.62413085562012,2.052497489687556,0.8395861966860084,0.7821627817422699,0.3199482963617689,0.40905589454037067,0.6800517036382311,0.4324945105035138,20,23556,21125,14.433787991446248,7.0509628545305025,991353042.9171369,[-2.40862709 -1.67297464  2.20436636],"[[ 0.62242397 -0.7761269  -0.10107148]
 [ 0.45865058  0.25704684  0.85062716]
 [-0.63421451 -0.57580723  0.51596317]]"
object_408,1.8721083610192686,1.2985666998969783,1.001381725805556,0.6936386412963693,0.5348951730872854,0.7711438510513172,0.4651048269127146,0.7268171622543744,30,24170,21667,14.844328568550907,6.572923713943052,1016201997.2702615,[-0.45274067 -1.16977895 -2.22742978],"[[ 0.62898129  0.4975919   0.59731469]
 [-0.77469988  0.33695202  0.53507329]
 [ 0.06498174 -0.79929071  0.5974209 ]]"
object_411,2.5283598352420125,1.9721447488873916,1.4058966432147575,0.7800095229319365,0.5560508530543818,0.7128770056092031,0.44394914694561816,0.5668513632934878,12,21091,18900,14.946735176463092,7.633473847675435,876987538.5808455,[-0.60172298 -3.53150872  1.85894013],"[[ 0.2803435  -0.84732527  0.45105145]
 [-0.95963847 -0.23643551  0.15229002]
 [ 0.0223946   0.47553984  0.87940908]]"
object_412,2.9011002789449822,1.801088380871164,1.3357942852906806,0.6208294121863827,0.46044402359523307,0.7416594873842746,0.5395559764047669,0.7799208444036922,30,12082,10831,21.27781528051889,8.595335218871773,499038218.0225707,[ 3.75400902 -5.72343029  3.69765885],"[[-0.58742054 -0.04800593  0.80785676]
 [ 0.69742792  0.47634923  0.5354304 ]
 [-0.41052578  0.87794467 -0.24633664]]"
object_417,2.373479973439671,2.1817740897570497,1.3361128419855732,0.9192300395082755,0.5629341123318032,0.6123974284314447,0.43706588766819676,0.22692864558817402,12,28309,25351,13.271685331177055,6.311256971483199,1199138080.515552,[ 0.74363087 -0.25309471  0.9636519 ],"[[ 0.15229404  0.09848388 -0.98341621]
 [-0.96671263  0.22183927 -0.12749126]
 [ 0.2056045   0.97009704  0.12899041]]"
object_418,1.7367141453654626,1.0404737263033488,0.8627111833933486,0.5991047686689961,0.49674909696310754,0.8291523001339356,0.5032509030368925,0.8510875568579913,27,18721,16704,13.92469959904537,5.30565296159947,791641709.2162794,[-0.75987052  2.25961185  1.2242325 ],"[[ 0.40993162 -0.01328528 -0.9120195 ]
 [-0.87734164 -0.27920433 -0.39027759]
 [-0.24945485  0.9601398  -0.12611042]]"
object_419,8.853759323500986,2.4704066343709195,1.6130303227904406,0.27902346834904274,0.18218592395084557,0.652941220424302,0.8178140760491545,0.9538043007009929,18,18257,16366,28.541621760855126,16.802033946391973,758346149.6356924,[-11.26304028   3.80060469  -3.60303177],"[[-0.89564059  0.33347496 -0.29431681]
 [ 0.43834113  0.77396617 -0.45698296]
 [-0.07539888  0.53830365  0.8393713 ]]"
object_423,1.8449172818815267,1.3079909958876812,0.7836608002442701,0.7089699948789765,0.42476744509925063,0.5991331765341632,0.5752325549007493,0.6068547627024841,30,26351,23526,11.280558471644321,5.264197651537466,1139790085.125657,[ 0.8000313  -0.40754973  3.66823521],"[[ 0.42451344  0.83925286  0.339769  ]
 [-0.24551377 -0.25450265  0.93538836]
 [ 0.87149947 -0.4805029   0.09800834]]"
object_424,1.9092706834700766,1.455014568694443,1.141571027624218,0.7620787252910475,0.5979094727152183,0.7845770428598031,0.4020905272847817,0.6525030898135289,22,26212,23454,11.891754805140497,5.515685120004144,1120900579.4664,[1.01960394 1.98702717 0.35436729],"[[-0.29935513 -0.89846106 -0.32117633]
 [-0.88992658  0.14151258  0.43359529]
 [ 0.34411799 -0.41562232  0.84192689]]"
