x,y,z
0.558971049680622,0.47972356612808653,-0.6292998073276976
0.7420192104091257,0.43718527010150865,-0.46401566255735816
0.4452393548372129,0.5097187222563662,0.5769126761806547
0.5866132288801964,0.5704811189807515,0.43708759394212393
0.5538536460444448,0.7060628612807704,0.4277698224686901
0.4572827905194572,0.6778173584707474,0.42158067940363253
0.42474069424861227,0.6638123645134328,0.44449269175675
0.415145244719497,0.6746798807753294,0.4655147846124237
0.4128562295691154,0.6692652623114554,0.46468412598642317
0.36095967829623987,0.6729749252308466,0.43010470686112967
0.34350640498541907,0.7212277047419775,0.45819780146666744
0.3379882903445832,0.7051037757519225,0.45215016348174686
0.33881052235756215,0.7047043285820109,0.4533676378559903
0.34372498043285304,0.7059208108594248,0.4550681983064351
0.34097976651446515,0.6997301126903039,0.4573146716948031
0.3493962014672434,0.6334283268924992,0.46843290585911745
0.3484646805081866,0.6185725003970219,0.42464253720117995
0.34522292893871054,0.5799645996203253,0.4309050526926512
0.43390597257985064,0.6244874001013159,0.4427732974436367
0.30737478024093434,0.552960651983085,0.4101708504849739
0.3084766411984674,0.5541985567797383,0.40893094101920724
0.30196886431167513,0.5531222527015416,0.4190190324343348
0.30109074987831264,0.5558373168069011,0.4322648566767384
0.3065086692358818,0.5492615900620876,0.41118168890079687
0.3039743622757669,0.5028846570439782,0.41309455895407154
0.29972496569462237,0.5041195382391379,0.4766608833342616
0.2989045283256928,0.5101615219909945,0.4811600710554558
0.34777226742608036,0.557178336668585,0.47957929261156096
0.3367847826311845,0.5347305498171409,0.4570181971794227
0.29934622229575325,0.5168887475938391,0.49487920225419657
0.29601354011992953,0.517978410743126,0.4977415039229527
0.34263392900902545,0.5024339563206013,0.5477232115936204
0.396569955162704,0.4978555935967961,0.4986112473234243
0.2953753772435448,0.4551632585144034,0.5219282371263034
0.34871456502150977,0.4147126577454401,0.48874029514263384
0.29677444441858825,0.4526065139907587,0.4708877787597885
0.3404639860636962,0.45972104622887855,0.4298796563743963
0.35090707492145157,0.4739279773530143,0.4227165783931923
0.31845265919400845,0.41975962046763016,0.44018587846403534
0.41305059878504835,0.448952988511337,0.44457112619511463
-0.6154032761933195,-0.4356235353725424,0.42513931540725025
-0.6095584766489992,-0.43610692839865806,0.42456276840857754
-0.5958346082716162,-0.33190208724863624,0.5168021616464102
-0.5099442279251889,-0.5571933166638701,0.6049886565124325
-0.5182866406021276,-0.43921087908620393,0.6039897444406961
-0.3912738290900961,-0.47189809280553163,0.6416235212118409
-0.36199992975798523,-0.42947338429621595,0.5239030229813579
