Simulation,a,b,b/a,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass
object_297,0.9005190460798603,0.571350349694381,0.6344678129591855,11,77114,68758,12.694130247888431,4.570207049631695,3426863240.4930525
object_297,3.1323741127102833,1.01866809449287,0.32520639548111596,12,77114,68760,25.444289534288487,10.513257352773914,3426866763.1973667
object_297,3.744355684885777,0.8539433083504965,0.22806148245944385,12,77114,68736,36.64727409198717,10.774223569286788,3426852989.3807683
object_297,2.5061539831685473,0.9767593666562867,0.389744354583258,12,77114,68756,24.174464385122903,8.238238832861771,3426862626.607625
object_297,3.520625387830767,0.9559872734725834,0.27153905007246876,12,77114,68744,31.867651063000704,10.864978769002981,3426872314.1023893
object_297,2.428611393260267,0.9633342660483549,0.3966605232610458,12,77114,68754,23.74860633140097,7.856217790013049,3426853883.6366673
object_297,3.169856230276886,1.1033335581596646,0.3480705363294312,12,77114,68759,26.053862355913264,9.597146317161393,3426837855.9474626
object_297,3.160304932373948,0.8229279524338782,0.2603951106122262,12,77114,68741,31.350389985080618,10.855109334469882,3426869632.046284
object_297,1.829605690471429,0.9520648655710011,0.5203661480336156,11,77114,68749,19.136783679388323,6.356708059002112,3426842343.184067
object_297,3.6646683142565126,1.2020459275792132,0.3280094743917047,12,77114,68759,30.844733927328583,10.678865369434437,3426848961.718255
object_297,1.2961857442115274,0.6512858273220563,0.5024633469628498,12,77114,68737,20.083285919488247,5.994977423757579,3426843096.64887
object_297,3.816453186876011,0.9299945330067064,0.24368031978088037,12,77114,68736,32.49894606188348,10.270057605430178,3426834899.354595
object_297,2.9302467178996126,0.8177096660872657,0.27905829945725397,12,77114,68738,31.491112664707035,9.717427373545458,3426852773.9228964
object_297,1.6833238237902344,0.7005468994479015,0.4161688259544287,12,77114,68757,26.030595145675353,8.203169986859963,3426849407.6210594
object_297,2.9844830975535066,1.0067623031527995,0.33733221809099223,12,77114,68755,25.116896883283424,9.437152669105682,3426870589.462656
object_297,1.2240884805416472,0.6227057814622986,0.508709779857382,12,77114,68732,18.866531183294484,5.798693451574078,3426842586.588693
object_297,3.8104546304794633,1.111837650737105,0.29178608815956547,12,77114,68747,29.91695216238176,10.434295789314396,3426848028.9323535
object_297,3.195149761843713,0.9532592709988065,0.2983457246300538,12,77114,68748,30.534204248970592,10.21725098655203,3426836906.4257307
object_297,2.5450385666323037,0.6248061201729488,0.24549966682812085,12,77114,68739,25.107679774028252,10.182492044888555,3426858025.002801
object_297,2.118172159276216,0.956012810938319,0.4513385782886461,12,77114,68753,22.116058743830433,7.348075106473425,3426860941.8035975
object_297,1.7061893534537185,0.6358208387564332,0.3726554953993741,11,77114,68762,26.403980217219395,9.312840189757582,3426863710.56312
object_297,3.1636253986976963,0.8742452798842933,0.27634285659869073,12,77114,68744,32.69429189423647,10.500821507712395,3426866353.9650297
object_297,4.143671811747279,1.1979819763035826,0.28911121119855887,12,77114,68755,31.41679788289681,10.840442524503901,3426875799.84086
object_297,0.8339965520114332,0.5626435278132975,0.674635316484599,11,77114,68816,10.830653045805928,4.499825272718113,3426853624.093679
object_297,4.271236310253798,1.047211365654093,0.245177576136467,12,77114,68740,37.65703153649804,10.355059374301074,3426851915.7332826
object_297,3.347581729110779,1.1063045682051968,0.3304787329267284,11,77114,68761,27.993782424815713,10.046448504596691,3426870430.4554853
object_297,1.4909307958610725,0.9602603938425699,0.644067716964677,12,77114,68754,17.785938966191946,5.913646381292714,3426862476.428218
object_297,3.3709335896555292,1.336598414624067,0.3965068961090545,11,77114,68762,21.14341285773847,8.426848003587839,3426878434.750662
object_297,2.8180944467805022,0.9968877353619016,0.35374532478880677,12,77114,68744,26.881858558227602,8.56089468499553,3426885869.013924
object_297,3.2342164083216987,0.9016124407459165,0.2787730710987833,12,77114,68740,35.22389789427481,10.212102515816044,3426870547.435113
