Simulation,a,b,b/a,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass
object_398,0.6310441033763188,0.4317956257679721,0.684255860181097,10,22298,20036,17.13737677696628,8.66383397954343,944473469.9380679
object_398,3.771734005265219,1.9680673485248263,0.5217937812628006,11,22298,20044,23.653916372150366,12.30374776802435,944497401.205376
object_398,4.117597486280204,0.8247988103440606,0.2003106940618364,11,22298,20006,28.829596996805083,13.780113696659296,944479427.7896078
object_398,3.295604906489895,1.3537049854678913,0.41076070217097244,11,22298,20044,27.58857900912377,14.076821577288472,944497734.0456629
object_398,1.2621892717903442,0.8056075901950907,0.638262111872003,11,22298,20019,13.285264133589811,6.7804608895349014,944491512.3983669
object_398,3.955158569713957,1.1206036374568835,0.28332710754955326,11,22298,20021,26.2998498459727,14.115448884367666,944479366.7806925
object_398,4.215313834837436,1.877552619966648,0.44541229752566125,11,22298,20046,27.48346518670349,13.978683270467847,944501499.6679026
object_398,2.67591901801376,0.7601251335515384,0.284061336847089,11,22298,20012,23.38926744084927,12.369048229332332,944485601.7804018
object_398,1.464860211455304,0.41510412831644494,0.2833745671227214,11,22298,20011,21.769546858597643,9.853791585941039,944489016.8833299
object_398,2.817221605122206,1.6359314667043485,0.5806896637914236,12,22298,20030,18.016725381488882,8.922543449560674,944473235.871403
object_398,4.0336687809839615,2.0374739464151967,0.5051168197102641,11,22298,20044,23.627285112973006,12.693395677486368,944500299.16242
object_398,3.7658967143847644,0.7684082363616866,0.20404389568799466,11,22298,20005,28.43990821858501,14.056882399238791,944463094.8040843
object_398,3.4094684962173076,1.2008572129611774,0.3522124384764044,11,22298,20028,24.118500702039338,12.672150092054247,944482359.4734116
object_398,3.6609785640366264,1.1667198664933889,0.31869071235613944,11,22298,20023,23.763284804035983,11.745990054519833,944502375.2646601
object_398,2.9021566879258027,1.613895482810144,0.5561021186501165,11,22298,20047,22.578553938139542,11.546365043484652,944495684.2689579
object_398,2.2173519257831686,1.7452290724254418,0.7870780691743494,11,22298,20031,13.950896601350077,7.264351099479253,944496836.8124909
object_398,1.7838006692993644,0.7979652902316942,0.44733994328251736,11,22298,20045,26.243400787391117,13.515840504271583,944500428.8567137
object_398,3.7319709459657053,0.9000570476107538,0.24117471991139794,11,22298,20011,27.338648969364886,13.83920656861022,944493006.3682786
object_398,3.7505966013442493,0.976565692797935,0.2603760938854167,11,22298,20022,28.063470075330127,14.226289061762463,944475110.1400664
object_398,2.044015943244242,1.738224834864879,0.8503969064477969,10,22298,20032,13.666567190281777,7.011864227666029,944501312.5797136
object_398,3.878996239165307,1.7360111446882227,0.447541332255012,11,22298,20041,25.434904945738815,13.057578893560054,944473520.2496126
object_398,0.38286730100689564,0.10755809690164982,0.28092787401479513,12,22298,20008,21.545400512289078,9.740583362085243,944462421.8632618
object_398,4.1629261484862985,1.818663214223827,0.4368713614785407,11,22298,20045,26.399810820214043,13.778827704974102,944466827.0352211
object_398,3.8143445353536145,1.3113699011927817,0.34379954118937744,11,22298,20026,24.637302465339705,12.491947592719804,944464335.2996757
object_398,4.074724448168901,1.3206814825620525,0.3241155320712644,11,22298,20030,26.14724581353423,12.99435074745505,944479068.7949708
object_398,2.0239265265523256,0.6438882129070845,0.318138136172325,12,22298,20001,18.826564511507897,9.314231511767552,944474089.7377622
object_398,4.077173731469884,1.7606455775259051,0.4318299129458889,11,22298,20042,26.615929631728925,13.795709183028439,944464955.8814495
object_398,2.9109667346995622,1.1789944917334436,0.4050181947046971,11,22298,20034,25.349525826914128,13.017022710674171,944477372.2429686
object_398,2.166231439618731,1.2872696980011649,0.5942438441516349,12,22298,20027,15.356942914875319,7.988446050267987,944464726.1447526
object_398,3.053277347798514,0.9980531725433562,0.32687930340261306,11,22298,20033,27.4338217237124,14.320637309824402,944490442.3793269
