Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Center of Mass,Rotation Matrix
object_23,0.9001729058302167,0.8134360490208407,0.39039348409698404,0.9036442262951917,0.4336872189425982,0.47993137821579623,0.5663127810574018,0.22591899742092802,13,1922271,1706338,24.92658304716877,4.6538300540657636,95306556105.51338,[-0.06395294  0.62592104  0.3401566 ],"[[ 0.21815453  0.95474654  0.2021575 ]
 [-0.92515633  0.13638725  0.35423759]
 [-0.31063541  0.26430583 -0.9130433 ]]"
object_65,0.7829230000906545,0.6696157495901539,0.4391922411153784,0.8552766357772338,0.5609647961096103,0.655886964104699,0.43903520389038975,0.3917913747593053,30,1752213,1560027,11.346858030565851,3.04944919021306,87038885477.60287,[-0.20385591  0.07727893 -0.37636382],"[[ 0.41895517  0.65593515  0.62787391]
 [-0.82173012 -0.02030023  0.56951516]
 [-0.386311    0.75454422 -0.53049678]]"
object_81,0.9307431179707986,0.8914091630840233,0.2952477444824759,0.9577391934172654,0.317217220070532,0.3312146169341611,0.682782779929468,0.0919925500848394,13,992743,878992,19.207047404159702,4.8955255778533555,49513551940.63592,[-0.04795095  0.17211024 -0.15587366],"[[-0.26182222 -0.31449477 -0.91243749]
 [ 0.71077227  0.5767204  -0.4027361 ]
 [ 0.6528797  -0.75398052  0.07253594]]"
object_86,1.2064740227578692,0.9992632386463353,0.41631891945037636,0.8282509360310366,0.3450707695294726,0.4166258732927553,0.6549292304705274,0.3564434793628044,15,472724,417669,15.216914523898263,5.510446348440155,23349713702.54056,[-0.16570408  0.14037241 -0.33110494],"[[-0.44878646  0.5444206  -0.70865854]
 [-0.85567117 -0.03309863  0.51646038]
 [ 0.25771604  0.83815911  0.48069923]]"
object_89,1.9808090268155163,1.7196853806639631,0.9327232807804099,0.8681732349678589,0.4708799627594183,0.5423801884157958,0.5291200372405818,0.3164384879407013,14,587402,520993,23.51095038131815,6.912869171119081,27728060790.587376,[-0.39895012  1.16785889 -0.05262359],"[[-0.7379452   0.61431679  0.27937746]
 [ 0.39958985  0.73135117 -0.55267841]
 [-0.54384266 -0.29620998 -0.78517184]]"
object_92,0.9132812153128977,0.8662370581483418,0.2955912863513026,0.948488859317622,0.32365856364409135,0.34123602029120653,0.6763414363559086,0.11211329714995526,12,850681,754413,13.308298373047364,4.7139003857604775,43325506665.104866,[-0.13884423  0.15410651 -0.03972278],"[[ 0.65092984  0.14070196 -0.74598478]
 [-0.62013868 -0.46823207 -0.62943368]
 [-0.43785655  0.87233118 -0.2175315 ]]"
object_93,1.5267151088322894,1.2088650781519341,0.889572729678628,0.7918078960235984,0.5826710723777531,0.7358742888317794,0.41732892762224694,0.5647894118408755,30,581670,516558,21.428555810607218,6.623602121202558,28023218067.0386,[0.22107395 1.21103342 0.06424431],"[[ 0.53592579  0.73255686  0.41969512]
 [ 0.61188149 -0.67953651  0.40476063]
 [-0.58170833 -0.03988202  0.81241913]]"
object_94,0.9036311851614713,0.7633345776071234,0.44483037488215743,0.844741295056923,0.4922698355111217,0.5827462660955269,0.5077301644888783,0.37801680124506404,30,900564,797747,20.50435887908924,4.066551137915084,45190408827.07169,[-0.03727639  0.25265992  0.76276069],"[[-0.42894335 -0.0384308   0.90251353]
 [ 0.67196433  0.65414057  0.34722335]
 [ 0.60371478 -0.75539605  0.25476512]]"
object_96,1.221564742970619,1.1535382943784638,0.4287389685168858,0.9443120399605448,0.3509752315495552,0.37167293934346063,0.6490247684504449,0.12348625414715028,27,554566,491455,18.80649355230123,5.65998772403303,26675533653.22354,[-0.23938497  0.38325449 -0.26370347],"[[ 0.00446364 -0.94594144  0.32430676]
 [ 0.92570048  0.12657401  0.35645145]
 [-0.37823101  0.29861985  0.87622342]]"
object_98,0.9330337333999834,0.7971882732233455,0.4732519750944849,0.8544045565409347,0.5072185047050233,0.5936514509689677,0.4927814952949767,0.36351443466224714,30,995108,885523,13.543016288322466,3.953366792374171,50525185327.14432,[-0.76476343 -0.47462227 -0.56358616],"[[-0.08322729 -0.87569364  0.47564049]
 [ 0.03981896 -0.47983755 -0.87645329]
 [ 0.99573474 -0.05400532  0.07480478]]"
