Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Center of Mass,Rotation Matrix
m11c_res2100,0.7903540066899961,0.6403581202766822,0.5762529342209143,0.8102168330347347,0.7291073738390503,0.8998916637020709,0.27089262616094967,0.7334476852089203,17,91319,82259,5.112188235939837,2.4179075808560353,137277308.23418817,[-0.1884929   0.16393696 -0.28487938],"[[-0.2976584   0.47060513  0.83062043]
 [-0.08708065 -0.87981499  0.46727139]
 [ 0.95069261  0.06675628  0.30286492]]"
m11c_res2100,0.8519787723734816,0.6040211835781129,0.5386955751860579,0.7089627149927725,0.6322875553405339,0.8918488123130421,0.36771244465946606,0.8286597036374416,30,76706,69053,6.627053964640723,2.6926707752855124,107448980.44371071,[-0.21670957  0.16518248 -0.19432314],"[[-0.31731178 -0.91612126  0.24502057]
 [ 0.65188165 -0.39836513 -0.64525618]
 [-0.68874055  0.04502298 -0.72360858]]"
m11c_res2100,1.159695622526901,0.6878601170528094,0.6005822468350144,0.5931384957321879,0.5178792048265086,0.8731168328355133,0.4821207951734914,0.8857416298084035,13,82762,74541,8.512452872036587,3.5242489006314837,113283447.71478608,[-0.19956937  0.22924532 -0.23449101],"[[ 0.43076992  0.82731989  0.36052612]
 [-0.61861622 -0.02017156  0.78543433]
 [ 0.65707781 -0.56136879  0.5031042 ]]"
m11c_res2100,1.4470169003941546,0.8818439453257889,0.8043532976252945,0.6094220081918755,0.555870009124424,0.9121265751029608,0.44412999087557603,0.9096918286121894,30,100709,90668,11.374264152982464,4.521725284696292,134340112.32921883,[-0.06387225  0.13414034 -0.07702623],"[[-0.45864352  0.85358303  0.24706704]
 [ 0.5938448   0.08758284  0.79979848]
 [-0.66105558 -0.51354187  0.54706515]]"
m11c_res2100,1.5947400695336973,1.0103260644831258,0.9026524311758429,0.6335365140593385,0.5660185308065777,0.8934268479331297,0.4339814691934223,0.8808287319368597,14,98581,88764,12.756217381915379,5.196497225286781,128862516.78613392,[-0.04910502  0.15759142 -0.07638266],"[[ 0.47311206 -0.83748977  0.27345176]
 [-0.58599745 -0.06737791  0.80750678]
 [ 0.65785406  0.54228323  0.52264417]]"
m11c_res2100,1.7558260233737037,1.003108286120242,0.9337933847352293,0.5713027787302274,0.5318256890514739,0.9308998815540599,0.46817431094852613,0.9392768500430462,30,147753,132970,14.694658692831684,5.859158411356552,188366798.49182406,[-0.07726181  0.16318983 -0.1153085 ],"[[ 0.56425378  0.78495077 -0.25587097]
 [-0.51832187  0.57803434  0.63025292]
 [ 0.64261972 -0.22299907  0.73301522]]"
