Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Center of Mass,Rotation Matrix
object_18,1.3253269222174584,1.250349758709582,0.8260070315043906,0.9434274198682774,0.6232477569552157,0.6606207789065898,0.3767522430447843,0.17977680345040675,15,4911649,4354844,33.30371096850168,5.885823517590692,231759351510.62476,[-0.24860517  0.75938185  0.38807305],"[[ 0.17991955 -0.75410415  0.63162954]
 [ 0.96200606  0.26894137  0.04706256]
 [-0.20536139  0.59916397  0.77384058]]"
object_26,2.830659712195318,1.7205960967565235,1.4081602132012565,0.6078427899134916,0.49746714772336864,0.8184141623102387,0.5025328522766314,0.8378803877209529,30,3256552,2898378,33.24758001133162,7.659384541639566,161827005800.71268,[-2.12267436  0.04267928  0.20078081],"[[ 0.94775446  0.046203   -0.31563707]
 [-0.22654113 -0.59913484 -0.76793005]
 [ 0.22458984 -0.79931391  0.55736584]]"
object_31,1.4471857909508437,1.1886296145006772,0.4416076000411473,0.8213386435474277,0.30514920945361,0.3715266678986953,0.69485079054639,0.35881418900219,30,2920700,2594568,25.152137927693133,7.003634498326194,149337955960.86636,[1.23250043 0.04460024 1.3593361 ],"[[-0.82485353  0.03260285  0.56440563]
 [ 0.29374961  0.87770859  0.37860111]
 [-0.48304019  0.4780844  -0.7335581 ]]"
