Simulation,a,b,c,b/a,c/a,c/b,ellipticity,triaxiality,Iterations,Initial Particles,Remaining Particles,Max Radius,r_50,mass,Center of Mass,Rotation Matrix
object_38,16.303481186586914,3.4972339382005164,2.340645666950674,0.2145084168329483,0.14356723206307337,0.6692848429107494,0.8564327679369266,0.9740630892950634,30,728798,645914,82.27674160598309,13.675975551523328,35142573579.0752,[ 6.97042736 -3.96346119  5.73141755],"[[-0.6608859   0.50263405 -0.55730498]
 [ 0.75024263  0.42355537 -0.5076779 ]
 [-0.01912669 -0.75363112 -0.65701926]]"
object_39,4.057505158416141,3.288071310633444,1.6670731231842784,0.8103677462524662,0.41086161522836495,0.5070063772014477,0.589138384771635,0.4130258869565987,6,1020931,903175,21.366706143372014,4.473129136708348,51314302868.96119,[-0.42859992  1.23098879  1.15561645],"[[-0.73092123  0.07861931  0.67791825]
 [ 0.26492923  0.94812799  0.17568672]
 [ 0.6289409  -0.30801352  0.71383543]]"
object_40,6.920476728135246,2.0906623277697727,1.2185608553112157,0.3020980215524995,0.17608047872730329,0.5828587616112657,0.8239195212726967,0.9378130555038099,30,751100,661484,20.574397949510335,6.795875005522178,37035694749.74084,[-2.51866087 -0.59925123 -0.85912369],"[[-0.9468061  -0.2898439   0.13981676]
 [ 0.16937825 -0.81827204 -0.54931036]
 [-0.2736224   0.49640848 -0.82383821]]"
object_41,2.8216892432173366,2.744074327890192,1.151319447970251,0.9724934574160806,0.40802489173382456,0.4195656933445583,0.5919751082661755,0.06509352623100169,6,1054350,934737,13.698391689716027,4.43182463881866,53125113981.26354,[ 0.24215463  0.10786623 -0.05037514],"[[-0.58440406 -0.25671016  0.76978685]
 [-0.77443042 -0.10686768 -0.62356782]
 [ 0.24234153 -0.96056192 -0.13635025]]"
object_42,2.5864375514088636,2.3927022712284596,1.5631353938035009,0.9250957054521289,0.6043584516285894,0.6532928950666966,0.39564154837141063,0.22717249301900283,5,1151901,1021031,26.58144204527713,3.7621088465649133,55772506288.688934,[ 0.08915771 -0.19798465 -0.07843   ],"[[-0.45565845 -0.85092621 -0.2613426 ]
 [-0.54740712  0.03634651  0.83607678]
 [-0.70194075  0.52402625 -0.48236467]]"
object_43,2.1809621898299505,2.1487548787724657,0.9151947677413917,0.9852325220456958,0.41962890141288944,0.425918645622446,0.5803710985871106,0.03558255282932393,7,1030141,917567,11.165888929346815,3.4680792986021833,51730611615.00116,[-0.50788071 -0.67816799 -0.26119062],"[[ 0.33199161 -0.00915246  0.94323794]
 [ 0.50305483 -0.84416689 -0.18525144]
 [-0.79794574 -0.53600232  0.27565214]]"
object_44,2.5822997435640387,2.460830369835534,0.7124920362727675,0.9529607769077748,0.27591376177321697,0.2895331775023509,0.724086238226783,0.09943563376847367,7,1013940,900043,13.940806155082974,4.182461225394354,51111806825.03855,[-0.24507268  0.76529253  0.17612129],"[[ 0.36156763 -0.92780396 -0.09191659]
 [-0.9299068  -0.35173854 -0.10748642]
 [ 0.06739572  0.12433748 -0.98994849]]"
object_45,2.7355557910589274,2.6491505047621513,1.3795703830995236,0.9684139922939283,0.5043108196179377,0.5207595342807394,0.49568918038206233,0.08338043602824446,7,826612,733092,13.683697891645824,3.686161090111421,40239430401.434875,[-0.37678295  0.39313803 -0.98010731],"[[-0.87204629 -0.48059484  0.0925412 ]
 [-0.15886444  0.45679974  0.87526915]
 [ 0.46292263 -0.7485737   0.47469995]]"
object_46,2.5188312450469508,2.3924010120836625,1.0519197249564145,0.9498059930724213,0.41762215195040064,0.43969205816387974,0.5823778480495994,0.11854355003243172,6,997605,882279,13.228364695241922,4.4262770472613,50220733587.75617,[ 0.37265649 -0.050982    0.38731329],"[[ 0.62684772 -0.26410725  0.73301385]
 [ 0.21063814 -0.84831992 -0.48578275]
 [ 0.750129    0.45891249 -0.47613635]]"
object_47,3.586235265599812,3.404124612290134,1.780044674282287,0.949219546454039,0.49635468463460314,0.5229082002038572,0.5036453153653968,0.13134029483617773,23,855282,756875,24.069674314365987,5.501997967633396,41901927092.829445,[-0.45614321 -0.35226651  0.48909823],"[[-0.63995919  0.17209194 -0.74889024]
 [ 0.76837355  0.15266596 -0.6215265 ]
 [ 0.00737035 -0.97317905 -0.22993088]]"
