x,y,z
-0.7487743842059731,-0.5031743565255048,-0.9981077246689856
-0.8309636829975342,-0.3239329360537049,-0.7495255495891113
-0.8722847130366151,-0.30750604960150363,-0.8045904223195395
-0.7414147049131727,-0.3141569322490757,-0.8440430628955407
-0.7295085752917823,-0.2713605347211354,-0.9032928353315253
-0.6124806193237823,-0.2114875700502993,-0.7251975664436916
-0.6628535286554573,-0.21356429477557184,-0.7370366528489227
-0.7167064866337939,-0.26761430522370017,-0.7483581538539241
-0.7464896220133356,-0.2398108670071385,-0.7437758286850304
-0.7654089140324423,-0.247208880610332,-0.7732761170083067
-0.7169488726150312,-0.3129707948485707,-0.6780493769504424
-0.6610022300641968,-0.43428905031679077,-0.5556345581551125
-0.6665590484315332,-0.4907195287541944,-0.666520160537648
-0.5225792622832861,-0.5665001425488448,-0.8118231000076924
-0.5815244134969342,-0.5302014394225258,-0.7588301053921434
-0.5038305216504652,-0.5235296800063239,-0.6801524012596878
-0.49789456016570716,-0.5542626507722033,-0.5890968386112797
-0.579070914661505,-0.3732775429423202,-0.6918992989034259
-0.39720881429647925,-0.38916427508217855,-0.6934517573416261
-0.3685386367238308,-0.3185875763613839,-0.9094835086003985
-0.2472077803817899,-0.4371054487353255,-0.7752953916364089
-0.41722036271058277,-0.29251037761808574,-0.8772691542137883
-0.3864490301203634,-0.2801880002291141,-0.7723985132536089
-0.5827420651937824,-0.0671159307253958,-0.8526365174711767
-0.5177910125935228,-0.08484893886142457,-0.8581156317959677
-0.6542538092797445,-0.10876482891767159,-0.856687890715055
-0.6118615750211842,-0.18758739611518507,-0.7522647225717967
-0.6015798276616873,-0.2099550715092999,-0.7411606088418399
-0.6009537053180811,-0.2106347888961297,-0.7393385947139105
-0.6285149276729783,-0.23242506140190186,-0.7919307153664332
-0.6861073994951942,-0.1779098124378448,-0.8624429097773624
-0.6669469603092442,-0.1768955616363524,-0.9141291981904759
-0.5841499202855637,-0.2630738180459258,-0.9752507500025547
-0.619634042796132,-0.12698395752921351,-0.9547305001546498
-0.6184950235457849,-0.12498190447019722,-0.9494879510891476
-0.5305075240088013,-0.20698423204511174,-0.9469644832078296
-0.5258689848846976,-0.1893675780088055,-0.9743505009610529
-0.5483246480744306,-0.11615994502187937,-0.9585959198146055
-0.5296501501172449,-0.1850522356112523,-1.0183178829480317
-0.4979264606312038,-0.19855164328087885,-1.0223708559481417
-0.46879278475903075,-0.21460667271981798,-0.9962330032970258
-0.5684197178098684,-0.3128556969818559,-1.0146698014355655
-0.5820998789605706,-0.151172511021674,-1.0972099830776794
-0.7273734689812075,-0.33353676372465096,-1.0388241559809963
-0.5765871489321022,-0.3935848477836572,-0.9216002242623872
-0.6642155296474952,-0.46765246633788443,-1.1030211936401444
-0.7748976840016003,-0.30450232613297173,-1.1360409582947069
-0.6497648383646695,-0.2561394301475747,-1.2314799310789746
-0.5726464135546806,-0.35592409383255674,-1.2055130412739132
-0.5871463092185951,-0.4036990417609257,-1.1008924862832052
-0.48623800055811317,-0.49925874341296406,-1.1860833423173711
-0.5380567700887406,-0.6029591602508073,-1.099236163795693
-0.33604784521860176,-0.520827596641811,-0.9733579496911197
-0.4811096069024445,-0.5899941898011916,-0.8351931194841964
-0.4941547267445858,-0.5444054017333425,-0.9824129972366609
-0.48234121509288364,-0.6562209526009128,-0.9027142584303071
-0.5302805802752945,-0.7538284320050751,-1.020312713906106
-0.4877629947361405,-0.6933280222396372,-1.0352267974205964
-0.4684797152998518,-0.7373170212765582,-0.9545247127713856
-0.4102056169882137,-0.7307382419633841,-0.9347537582244343
-0.24984936680234224,-0.7962013163840318,-0.9578147109292359
-0.2734036127769839,-0.8265424132939979,-1.0659468671007037
-0.10164785552257077,-0.9953482100693873,-0.7349628949539857
-2.131621433643281,-0.03380448612375437,0.765415555138913
-2.131149418835577,-0.036430607462178126,0.7711742535205337
-2.2793801422944657,0.1442564799889207,0.5171951972558004
2.312748599694757,0.04296754796954459,0.9538054623449763
2.2864678122554496,-0.033157202163197244,0.8874720161611251
2.373691003442156,-0.18360505369447586,0.7880758519009743
2.295381181557256,-0.1583620564866344,0.8359933613323782
